Company,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,State
CMP1,-0.07208,-0.01803222,0.005477,-0.149562,0.0079847,-0.0427886,0.026112,-0.0200829,-0.1673491,-0.02714138,0.015439,-0.213406,-0.0054772,0.46604,-1.03027,0.01735,-0.14806,-0.0034955,0.0247533,-0.0064802,-0.190375,-0.48926,-0.0061486,0.058228,-140.8513,0.234,1.80063,0.0270907,-0.0527517,0.052503,-0.38519,0.123428,0.061548,-0.17978,47.5773,-0.02052287,-0.36238,-0.0012222,0.05763001,-0.011293,-0.80748,-0.901334,0.067239,-0.1617487,-0.299774,-0.02041025,0.45661,-182.693,0.82838,0.006149,0.0799,0.018217894,-0.0247386,64.202,0.291742,-0.027834,-0.0425663,0.00038952,0.00053266,-0.066027,-0.9719,-1.6497,-1.68554,-6.69618,-28.81103,1.6715,-0.54,357.75,-113.93376,-1.66,-4.602,3.97205E-16,-1,-7.8113,4.295,4.1904,0.3501,-0.1,1.56,0,-0.1623946,1,1,DISTRESS
CMP2,0.098197341,0.01759604,-0.03806433,0.003369516,0.019559429,0.040071862,0.070694593,0.019344569,-0.016167714,0.030501794,0.005718352,0.83600044,0.038064429,-0.512312637,0.152604615,0.021126923,-0.099698681,0.00039384,-0.003934745,0.0022302,-0.003431912,0.320966813,0.024760132,-0.034354132,42.64747253,0.2502,-0.472470769,-0.005110833,-0.003710539,0.003986571,0.115323297,-0.00032778,0.002059582,0.016336703,-7.65158022,0.019107787,-0.043412884,0.000493679,0.001821541,-0.005530549,-0.405167253,0.024354437,0.396375055,0.199755121,0.061511451,0.050509787,-0.515168725,142.5956044,-0.468899297,-0.024760132,0.255092308,0.02058244,0.022776945,396.8316264,0.008666002,0.00016756,-0.037218073,0.00283591,0.002829802,0.000437319,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,0.150713654,1,1,HEALHTY
CMP3,0.134521956,0.012006242,-0.031292989,0.027944132,0.01426533,0.039931187,0.065019626,0.010798077,0.011745978,0.032865002,0.009675604,3.362207692,0.031292989,-0.121004967,-0.259551209,0.010992615,0.04753567,0.000678678,-0.006229384,0.009018147,0.028068044,0.090436703,0.009524527,-0.030255429,38.55804396,0.124630769,1.039332527,0.006325896,-0.001037441,0.011784198,0.763702637,0.006940747,0.000534549,0.091947033,3.368705495,0.016794527,-0.003579222,-0.000758983,-0.002635068,-0.00248044,-0.026471495,0.016137042,0.100251319,0.036731824,0.06357367,0.047078778,-0.123279319,47.70131868,-0.117427582,-0.009524527,0.165169231,0.00910556,0.014873824,145.0187912,0.0031716,-0.003432637,0.015979301,0.000602957,0.001180706,0.008765086,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,0.11894512,1,1,HEALHTY
CMP4,0.002406154,-0.003220789,-0.011155648,-0.029438945,-0.000829422,0.000494207,0.042077802,0.008056967,-0.032172791,0.012282171,-0.00889222,-1.24917122,0.011155648,-0.185206154,-0.195000791,0.016832163,0.02347622,-0.001696594,0.01722484,-0.001885732,-0.029921275,0.418095604,0.00472556,-0.009387011,-0.575120879,0.184041758,-0.487053187,-0.011646127,-0.001768749,0.023827538,-0.909286593,0.129224286,0.001914198,0.044288571,32.67572308,-0.002544914,-0.011578451,-0.001069453,-0.004626484,-0.00703682,-0.199003692,-0.011040325,0.816491209,0.169374747,-0.013783048,-0.002179831,-0.187202857,162.9435165,-0.173627692,-0.004725582,0.118153846,0.01584951,-0.006004042,201.3108352,-0.006087327,-0.027567626,-0.02088947,-0.000156236,-0.000766778,-0.011785705,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,0.147908814,1,1,HEALHTY
CMP5,0.01836967,-0.005022271,0.002891538,0.037490505,-0.002504026,0.012305454,0.033377363,-0.007700072,-0.042100308,-0.004890279,0.018297055,-0.153442429,-0.002891409,0.295794286,-2.291154505,-0.007351513,0.483770769,0.001111727,0.002394754,0.000955771,0.013823253,0.264087253,-0.002648666,0.00599167,-69.78467692,0.100556044,4.018913187,-0.015266604,-0.003099993,0.027524725,-1.737750989,0.017467143,0.003844835,0.548150769,7.189366374,-0.010408097,-0.00360756,7.68352E-06,-0.021238309,-0.001189495,0.496043736,0.079453736,-0.019824747,-0.038834026,0.042053848,-0.0057837,0.45209978,-68.86103297,0.299405934,0.002648681,0.135035165,-0.007683811,0.003324892,401.4895824,-0.013604429,-0.004113204,-0.060455126,0.001569519,0.002009199,-0.001509052,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,-0.062853824,1,1,HEALHTY
CMP6,-0.020914091,-0.009137309,0.002848636,-0.036630455,-0.007663195,-0.015406553,0.029623909,-0.024945918,-0.114386636,-0.0054422,-0.004499727,-0.200187955,-0.002848518,0.436267273,-0.419415455,-0.0079017,0.024366818,-0.002792879,0.035414573,-0.004826995,-0.048242182,0.044076364,-0.003885364,0.010906727,-125.7201818,0.100881818,-0.415424545,-0.029669909,-0.008058045,0.025539,-1.790322727,0.115393091,0.010011727,0.022252727,29.21178182,-0.013262664,0.026740455,-0.003101818,-0.100404627,-0.0085447,-0.217836364,-0.289613727,0.071460455,-0.097061273,-0.169854109,-0.010015545,0.502598182,-129.5445455,0.409542727,0.003885364,0.0232,-0.007508873,-0.009876255,23.99109091,-0.074551318,-0.022134455,-0.013723176,-0.000339338,-0.000419736,-0.022767636,-0.918296584,-1.593097909,-1.793457455,-3.000386364,-0.196407273,-0.760672727,0.077272727,1083.596364,-13.43434545,0.936363636,-3.977225455,-0.072727273,-1.209090909,0.0077,9.263545455,9.054918182,0.174236364,-0.268181818,-1.204545455,0,-0.083480273,1,1,DISTRESS
CMP7,0.028565495,0.004419413,-0.01512189,-0.011490527,0.007218967,0.014778112,0.032674549,0.006842402,-0.010530132,0.004686051,0.004775077,-0.088857363,0.01512189,-0.195472527,0.03812967,0.01118822,-0.00517011,0.00020037,0.003869402,0.00121952,-0.019184418,1.228403516,0.011642703,-0.010003253,-46.52821978,0.188402198,-0.507998022,0.007788407,-0.005118936,0.012294044,0.482736484,0.02157244,0.005923385,0.052392308,1.121762637,0.004118982,-0.028911029,0.000740741,0.006486057,-0.004997771,-0.217157582,0.039356058,0.758958022,0.314412396,0.014638703,0.011372916,-0.176504396,-38.10593407,-0.166560659,-0.011642703,0.175769231,0.011275846,0.006735736,153.4008571,0.005825098,-0.008185407,-0.038534566,0.00444092,0.004369369,-0.000785143,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,-0.042569209,1,1,HEALHTY
CMP8,0.076421429,0.003452378,-0.011950286,-0.03241211,-0.008307403,0.019517602,0.046147714,0.027858924,-0.004361094,0.021554832,0.012117033,-0.749794176,0.011950286,-0.039674945,-0.651486154,-0.009177973,-0.094749297,-0.003198729,0.003191729,-0.005999901,-0.075651187,-0.039588989,-0.002226971,-0.007400154,3.688459341,0.064457143,14.3313549,-0.004539048,-0.004550397,0.01221356,13.49494242,0.055523385,0.007486769,-0.122084484,13.99374945,-8.06774E-05,-0.010503615,-0.00111951,0.010359987,-0.013871912,-0.088032637,0.419359743,0.079335033,0.023302083,0.029519421,0.045593111,-0.039465231,1.788395604,-0.029170462,0.002227187,0.004281319,-0.009810845,-0.007193073,19.6527033,0.028044484,0.003544571,-0.01397824,-0.000479539,-0.002323044,-0.006853959,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,0.074381022,1,1,HEALHTY
CMP9,0.006501319,-0.001631176,0.003542593,0.010035275,0.001572985,0.005969407,0.022808088,-0.003697301,-0.00284133,0.013290729,0.01189978,-0.66565033,-0.003542593,0.023770549,-0.313050769,-0.000511914,0.032514505,-0.001229966,0.003858923,-0.003037418,-0.002395604,0.319424176,-0.00140633,0.005929912,1.885536264,0.108098901,-0.055267253,-0.012188435,-0.002387661,0.016039121,0.231885275,0.017096549,0.004242505,0.039630769,7.049925275,-0.003682073,-0.005378607,-0.001730657,-0.008673218,-0.012193978,0.045427692,0.015877334,0.105465714,0.020329229,0.021608308,-0.003323615,0.023942637,20.72285714,0.029151429,0.00140633,0.120604396,-0.003257846,0.001722593,96.842,-0.014143298,-0.005759802,-0.008947113,-0.001371768,-0.001565341,0.001055736,-0.657883912,-1.322124264,-0.42341611,-2.695345275,0.158816264,-0.200397802,-0.033626374,2124.355385,-12.08488,0.617362637,-1.941989011,-0.063736264,-0.593406593,0.366591209,14.86342857,14.67322198,0.386716484,0.252747253,-0.364615385,0,0.071608523,1,1,HEALHTY
CMP10,-0.020543167,-0.019230917,0.011272833,-0.009015833,-0.024329983,-0.014796833,-0.008375833,-0.030089967,-0.066598,-0.013838763,-0.009056,-0.613779333,-0.011272833,0.14087,0.077511667,-0.038288133,0.553373333,-0.002495925,0.0048055,-0.004307678,0.01596,0.149322,-0.040176642,0.005740667,-173.9735,0.0546,0.221741667,-0.025797318,0.005531633,-0.002877667,-52.65762667,0.002082833,-0.006105333,0.34763,-1.6431,-0.047144667,0.030868667,-0.003634792,-0.001704867,-0.033941833,0.05245,0.059795833,0.056330667,-0.059149867,-0.085428,-0.02805275,0.14087,-417.5868333,0.110001667,0.040174167,0.040883333,-0.0352672,-0.025754458,35.791,-0.023786583,-0.008456033,-0.1262806,0.002969722,0.005079794,-0.023209283,-0.561058505,-1.154467333,-0.630399,-2.071773333,-0.466363333,-1.02565,0.038333333,292.7183333,-19.26763333,0.006666667,-4.808583333,0.066666667,-1.3,-1.731466667,6.993833333,5.897716667,-0.011116667,-0.566666667,-0.573333333,0,-0.12451165,1,1,DISTRESS
